Wk,Winner,Loser
9,Boise State,Air Force
9,Bowling Green,Central Michigan
9,Buffalo,Toledo
9,(21) Cincinnati,Southern Methodist
9,(5) Clemson,(14) Syracuse
9,Colorado State,Hawaii
9,Duke,Miami (FL)
9,East Carolina,Central Florida
9,Eastern Michigan,Ball State
9,Florida International,Charlotte
9,Fresno State,New Mexico
9,Georgia Southern,Old Dominion
9,Houston,Navy
9,Kent State,Akron
9,Liberty,Brigham Young
9,Louisiana,Arkansas State
9,Louisiana State,(7) Mississippi
9,Louisville,Pittsburgh
9,Marshall,James Madison
9,Maryland,Northwestern
9,Missouri,Vanderbilt
9,Notre Dame,Nevada-Las Vegas
9,Ohio,Northern Illinois
9,(2) Ohio State,Iowa
9,(11) Oklahoma State,(20) Texas
9,(10) Oregon,(9) UCLA
9,Oregon State,Colorado
9,(16) Penn State,Minnesota
9,Rice,Louisiana Tech
9,Rutgers,Indiana
9,San Diego State,Nevada
9,South Carolina,Texas A&M
9,Southern Mississippi,Texas State
9,Stanford,Arizona State
9,(3) Tennessee,Tennessee-Martin
9,(8) Texas Christian,(17) Kansas State
9,Texas Tech,West Virginia
9,Texas-El Paso,Florida Atlantic
9,Texas-San Antonio,North Texas
9,(25) Tulane,Memphis
9,(13) Wake Forest,Boston College
9,Washington,California
9,Western Michigan,Miami (OH)
9,Wisconsin,Purdue
9,Wyoming,Utah State
10,(24) North Carolina State,Virginia Tech
10,Southern Mississippi,Louisiana
10,(14) Utah,Washington State
10,East Carolina,Brigham Young
10,Florida International,Louisiana Tech
10,Appalachian State,Robert Morris
10,Arizona State,Colorado
10,Arkansas,Auburn
10,Baylor,Texas Tech
10,Boise State,Colorado State
10,Central Florida,(20) Cincinnati
10,Charlotte,Rice
10,Coastal Carolina,Marshall
10,Connecticut,Boston College
10,Florida Atlantic,Alabama-Birmingham
10,Florida State,Georgia Tech
10,Fresno State,San Diego State
10,(1) Georgia,Florida
10,Georgia State,Old Dominion
10,Houston,South Florida
10,(17) Illinois,Nebraska
10,Iowa,Northwestern
10,(22) Kansas State,(9) Oklahoma State
10,Louisville,(10) Wake Forest
10,Miami (FL),Virginia
10,Miami (OH),Akron
10,(4) Michigan,Michigan State
10,Middle Tennessee State,Texas-El Paso
10,Minnesota,Rutgers
10,(15) Mississippi,Texas A&M
10,Missouri,(25) South Carolina
10,Navy,Temple
10,New Mexico State,Massachusetts
10,(21) North Carolina,Pittsburgh
10,North Texas,Western Kentucky
10,Notre Dame,(16) Syracuse
10,(2) Ohio State,(13) Penn State
10,Oklahoma,Iowa State
10,(8) Oregon,California
10,San Jose State,Nevada
10,South Alabama,Arkansas State
10,(10) Southern California,Arizona
10,Southern Methodist,Tulsa
10,(3) Tennessee,(19) Kentucky
10,(7) Texas Christian,West Virginia
10,Toledo,Eastern Michigan
10,(12) UCLA,Stanford
10,Wyoming,Hawaii
11,Ball State,Kent State
11,Ohio,Buffalo
11,Bowling Green,Western Michigan
11,Central Michigan,Northern Illinois
11,Coastal Carolina,Appalachian State
11,Rice,Texas-El Paso
11,Connecticut,Massachusetts
11,Duke,Boston College
11,Washington,(24) Oregon State
11,Air Force,Army
11,Baylor,Oklahoma
